slug,page_title,template_kind,hero_filename,hero_alt,inline_1,inline_1_alt,inline_2,inline_2_alt,notes,client_ok
index,Acasă,home,NX6A7960-scaled.jpg,Clasă Pilates studio Elena Seremet București,,,,,Hero immersive full-bleed,
despre-noi,Despre noi,about,,,,,,,P0,
servicii,Servicii,servicii-hub,,,,,,,P0 — avoid duplicate iStock,
preturi,Prețuri,pricing,,,,,,,P0,
schedules,Program,rich-generic,,,,,,,Replace placeholder.png,
contact,Contact,app-page,,,,,,,Hero optional in app/contact,
inscriere,Înscriere,app-page,,,,,,,Layout only for preview,
pilates-mat,Pilates Mat,rich-service,,,,,,,Prefer Shooting Elena Reformere,
pilates-reformer,Pilates Reformer,rich-service,,,,,,,P0 sample for client,
pilates-props,Pilates Props,rich-generic,,,,,,,,
tonifiere,Tonifiere,rich-service,,,,,,,,
postural,Postural,rich-service,,,,,,,,
yoga,Yoga,rich-service,,,,,,,,
yoga-3,Yoga,rich-service,,,,,,,,
yogalates-stretching,Yogalates & Stretching,rich-service,,,,,,,,
sedinte-private,Ședințe private,rich-service,,,,,,,,
masaj-si-drenaj,Masaj și drenaj,rich-service,,,,,,,,
abcpilates,ABC Pilates,rich-generic,,,,,,,,
healthy-spine,Healthy Spine,rich-generic,,,,,,,,
fit-pilates,Fit Pilates,rich-generic,,,,,,,,
elastic-band,Elastic Band,rich-generic,,,,,,,,
total-body,Total Body,rich-generic,,,,,,,,
circuit,Circuit,rich-generic,,,,,,,,
personal-training,Personal Training,rich-generic,,,,,,,,
instructori,Instructori,team,,,,,,,,
elena-seremet,Elena Seremet,rich-generic,,,,,,,Portrait,
adelina-csolti,Adelina Csolti,rich-generic,,,,,,,Portrait,
gabriela-ostafe,Gabriela Ostafe,rich-generic,,,,,,,Portrait,
inregistrare-clienti,Înregistrare clienți,rich-generic,,,,,,,,
